year,month,splticrm,nextmonth_return
2000,12,A+,124
2000,12,A-,154
2000,12,AA,34
2000,12,AA+,6
2000,12,AA-,69
2000,12,AAA,24
2000,12,B,95
2000,12,B+,175
2000,12,B-,62
2000,12,BB,131
2000,12,BB+,108
2000,12,BB-,185
2000,12,BBB,210
2000,12,BBB+,195
2000,12,BBB-,191
2000,12,CC,3
2000,12,CCC,16
2000,12,CCC+,22
2000,12,CCC-,5
2000,12,D,34
2000,12,SD,1
2001,1,A,159
2001,1,A+,113
2001,1,A-,153
2001,1,AA,33
2001,1,AA+,7
2001,1,AA-,69
2001,1,AAA,24
2001,1,B,90
2001,1,B+,173
2001,1,B-,60
2001,1,BB,134
2001,1,BB+,109
2001,1,BB-,185
2001,1,BBB,208
2001,1,BBB+,195
2001,1,BBB-,190
2001,1,CC,3
2001,1,CCC,11
2001,1,CCC+,25
2001,1,CCC-,7
2001,1,D,46
2001,1,SD,1
2001,2,A,158
2001,2,A+,113
2001,2,A-,163
2001,2,AA,33
2001,2,AA+,8
2001,2,AA-,67
2001,2,AAA,23
2001,2,B,87
2001,2,B+,176
2001,2,B-,61
2001,2,BB,134
2001,2,BB+,109
2001,2,BB-,184
2001,2,BBB,212
2001,2,BBB+,186
2001,2,BBB-,187
2001,2,CC,7
2001,2,CCC,12
2001,2,CCC+,22
2001,2,CCC-,5
2001,2,D,50
2001,2,SD,1
2001,3,A,163
2001,3,A+,112
2001,3,A-,164
2001,3,AA,32
2001,3,AA+,9
2001,3,AA-,71
2001,3,AAA,22
2001,3,B,93
2001,3,B+,181
2001,3,B-,54
2001,3,BB,133
2001,3,BB+,110
2001,3,BB-,179
2001,3,BBB,217
2001,3,BBB+,183
2001,3,BBB-,185
2001,3,CC,8
2001,3,CCC,17
2001,3,CCC+,25
2001,3,CCC-,3
2001,3,D,50
2001,3,SD,1
2001,4,A,160
2001,4,A+,112
2001,4,A-,161
2001,4,AA,31
2001,4,AA+,9
2001,4,AA-,71
2001,4,AAA,22
2001,4,B,89
2001,4,B+,176
2001,4,B-,57
2001,4,BB,135
2001,4,BB+,109
2001,4,BB-,174
2001,4,BBB,218
2001,4,BBB+,182
2001,4,BBB-,188
2001,4,CC,5
2001,4,CCC,19
2001,4,CCC+,25
2001,4,CCC-,4
2001,4,D,52
2001,4,SD,1
2001,5,A,155
2001,5,A+,110
2001,5,A-,165
2001,5,AA,32
2001,5,AA+,9
2001,5,AA-,74
2001,5,AAA,22
2001,5,B,96
2001,5,B+,170
2001,5,B-,58
2001,5,BB,140
2001,5,BB+,109
2001,5,BB-,167
2001,5,BBB,215
2001,5,BBB+,188
2001,5,BBB-,189
2001,5,CC,9
2001,5,CCC,18
2001,5,CCC+,24
2001,5,CCC-,5
2001,5,D,54
2001,6,A,160
2001,6,A+,116
2001,6,A-,167
2001,6,AA,31
2001,6,AA+,9
2001,6,AA-,73
2001,6,AAA,22
2001,6,B,94
2001,6,B+,167
2001,6,B-,60
2001,6,BB,142
2001,6,BB+,114
2001,6,BB-,163
2001,6,BBB,217
2001,6,BBB+,185
2001,6,BBB-,191
2001,6,CC,8
2001,6,CCC,17
2001,6,CCC+,24
2001,6,CCC-,5
2001,6,D,58
2001,7,A,161
2001,7,A+,115
2001,7,A-,170
2001,7,AA,32
2001,7,AA+,11
2001,7,AA-,75
2001,7,AAA,22
2001,7,B,92
2001,7,B+,167
2001,7,B-,64
2001,7,BB,146
2001,7,BB+,117
2001,7,BB-,166
2001,7,BBB,215
2001,7,BBB+,189
2001,7,BBB-,191
2001,7,CC,8
2001,7,CCC,16
2001,7,CCC+,21
2001,7,CCC-,6
2001,7,D,60
2001,7,SD,1
2001,8,A,157
2001,8,A+,119
2001,8,A-,172
2001,8,AA,32
2001,8,AA+,11
2001,8,AA-,75
2001,8,AAA,29
2001,8,B,94
2001,8,B+,162
2001,8,B-,57
2001,8,BB,149
2001,8,BB+,120
2001,8,BB-,163
2001,8,BBB,213
2001,8,BBB+,190
2001,8,BBB-,192
2001,8,CC,7
2001,8,CCC,13
2001,8,CCC+,22
2001,8,CCC-,7
2001,8,D,63
2001,8,SD,2
2001,9,A,159
2001,9,A+,121
2001,9,A-,170
2001,9,AA,31
2001,9,AA+,11
2001,9,AA-,75
2001,9,AAA,29
2001,9,B,93
2001,9,B+,164
2001,9,B-,60
2001,9,BB,152
2001,9,BB+,115
2001,9,BB-,159
2001,9,BBB,217
2001,9,BBB+,196
2001,9,BBB-,191
2001,9,CC,4
2001,9,CCC,14
2001,9,CCC+,23
2001,9,CCC-,7
2001,9,D,61
2001,9,SD,4
2001,10,A,153
2001,10,A+,119
2001,10,A-,172
2001,10,AA,31
2001,10,AA+,11
2001,10,AA-,74
2001,10,AAA,30
2001,10,B,88
2001,10,B+,167
2001,10,B-,56
2001,10,BB,151
2001,10,BB+,116
2001,10,BB-,153
2001,10,BBB,221
2001,10,BBB+,200
2001,10,BBB-,195
2001,10,CC,3
2001,10,CCC,19
2001,10,CCC+,28
2001,10,CCC-,6
2001,10,D,66
2001,10,SD,5
2001,11,A,151
2001,11,A+,121
2001,11,A-,167
2001,11,AA,28
2001,11,AA+,8
2001,11,AA-,78
2001,11,AAA,30
2001,11,B,90
2001,11,B+,157
2001,11,B-,56
2001,11,BB,153
2001,11,BB+,113
2001,11,BB-,152
2001,11,BBB,224
2001,11,BBB+,197
2001,11,BBB-,200
2001,11,CC,9
2001,11,CCC,18
2001,11,CCC+,26
2001,11,CCC-,10
2001,11,D,65
2001,11,SD,2
2001,12,A,150
2001,12,A+,117
2001,12,A-,170
2001,12,AA,29
2001,12,AA+,7
2001,12,AA-,79
2001,12,AAA,30
2001,12,B,85
2001,12,B+,158
2001,12,B-,53
2001,12,BB,155
2001,12,BB+,111
2001,12,BB-,151
2001,12,BBB,222
2001,12,BBB+,198
2001,12,BBB-,199
2001,12,CC,8
2001,12,CCC,18
2001,12,CCC+,23
2001,12,CCC-,11
2001,12,D,64
2001,12,SD,4
2002,1,A,150
2002,1,A+,119
2002,1,A-,172
2002,1,AA,29
2002,1,AA+,7
2002,1,AA-,78
2002,1,AAA,30
2002,1,B,90
2002,1,B+,159
2002,1,B-,45
2002,1,BB,150
2002,1,BB+,114
2002,1,BB-,152
2002,1,BBB,220
2002,1,BBB+,192
2002,1,BBB-,203
2002,1,CC,8
2002,1,CCC,20
2002,1,CCC+,26
2002,1,CCC-,11
2002,1,D,62
2002,1,SD,8
2002,2,A,150
2002,2,A+,121
2002,2,A-,167
2002,2,AA,28
2002,2,AA+,7
2002,2,AA-,77
2002,2,AAA,30
2002,2,B,88
2002,2,B+,155
