year,month,splticrm,nextmonth_return
2000,7,AA-,4.5120865853658545
2000,7,AAA,3.8283879999999995
2000,7,B,8.173889795918367
2000,7,B+,6.299120441988952
2000,7,B-,-1.5950807692307694
2000,7,BB,5.116442519685041
2000,7,BB+,7.948339999999998
2000,7,BB-,4.622910937499998
2000,7,BBB,4.964884651162788
2000,7,BBB+,5.029033999999999
2000,7,BBB-,4.8542737430167655
2000,7,CC,-1.1387
2000,7,CCC,9.824976923076925
2000,7,CCC+,1.6873466666666654
2000,7,CCC-,8.014100000000003
2000,7,D,-4.008296875000002
2000,7,SD,-51.6129
2000,8,A,-0.5903575949367088
2000,8,A+,-0.47791102362204735
2000,8,A-,0.3118999999999999
2000,8,AA,0.3709000000000002
2000,8,AA+,-0.6842249999999999
2000,8,AA-,-0.12181351351351352
2000,8,AAA,5.148459999999999
2000,8,B,-10.282689215686274
2000,8,B+,-6.010515384615385
2000,8,B-,-14.640198113207548
2000,8,BB,-3.019210852713178
2000,8,BB+,-1.5044554621848738
2000,8,BB-,-5.084945744680851
2000,8,BBB,0.3590045871559637
2000,8,BBB+,-1.2960343434343435
2000,8,BBB-,0.19311306818181817
2000,8,CC,-15.320083333333335
2000,8,CCC,-6.698430769230769
2000,8,CCC+,-1.790861538461539
2000,8,CCC-,0.8479600000000005
2000,8,D,53.784543750000005
2000,8,SD,60.0
2000,9,A,2.213976282051283
2000,9,A+,3.759819531249998
2000,9,A-,1.3027746575342471
2000,9,AA,-0.37252571428571424
2000,9,AA+,-0.19192222222222208
2000,9,AA-,1.0833040540540544
2000,9,AAA,4.487476
2000,9,B,-11.54531649484536
2000,9,B+,-7.85223314917128
2000,9,B-,-14.649665384615389
2000,9,BB,-2.1567820312499997
2000,9,BB+,-2.2272824561403524
2000,9,BB-,-6.734446236559143
2000,9,BBB,-0.5675082949308757
2000,9,BBB+,-0.4684537313432842
2000,9,BBB-,-1.1694408839779
2000,9,CC,-30.064780000000003
2000,9,CCC,-15.394720000000001
2000,9,CCC+,-23.8994625
2000,9,CCC-,-6.308025000000001
2000,9,D,-10.562003571428571
2000,9,SD,-50.0
2000,10,A,-0.8596110389610387
2000,10,A+,-0.2542613636363638
2000,10,A-,-0.0453236842105266
2000,10,AA,1.2015382352941173
2000,10,AA+,2.0016875
2000,10,AA-,-1.2908680555555558
2000,10,AAA,1.8858695652173914
2000,10,B,-20.462939
2000,10,B+,-14.877431111111115
2000,10,B-,-31.133455357142857
2000,10,BB,-4.407100793650795
2000,10,BB+,-7.770826785714286
2000,10,BB-,-9.845033870967741
2000,10,BBB,-1.651737850467289
2000,10,BBB+,0.19789015544041422
2000,10,BBB-,-2.904656149732621
2000,10,CC,-37.38614
2000,10,CCC,-21.89315
2000,10,CCC+,-20.62420625
2000,10,CCC-,-22.79905
2000,10,D,-9.902713333333333
2000,10,SD,-16.6667
2000,11,A,7.498259999999997
2000,11,A+,4.2759828125
2000,11,A-,7.94657666666667
2000,11,AA,9.37250588235294
2000,11,AA+,1.3139
2000,11,AA-,5.707808450704224
2000,11,AAA,1.5272666666666668
2000,11,B,-6.577619000000002
2000,11,B+,2.494176243093921
2000,11,B-,-3.7751721311475412
2000,11,BB,8.553164393939396
2000,11,BB+,12.02536666666667
2000,11,BB-,6.446964285714289
2000,11,BBB,8.561370334928226
2000,11,BBB+,9.730370256410255
2000,11,BBB-,7.578621134020615
2000,11,CC,-31.377966666666666
2000,11,CCC,-26.162281250000003
2000,11,CCC+,-16.939294736842104
2000,11,CCC-,-12.8968
2000,11,D,-23.161421212121212
2000,11,SD,-30.0
2000,12,A,0.23317727272727265
2000,12,A+,-0.6538911290322581
2000,12,A-,1.5057194805194813
2000,12,AA,0.15211764705882383
2000,12,AA+,-1.8470000000000002
2000,12,AA-,-0.38432608695652176
2000,12,AAA,-5.910337500000002
2000,12,B,42.330796842105265
2000,12,B+,28.880125142857153
2000,12,B-,40.74543387096774
2000,12,BB,12.867101526717553
2000,12,BB+,6.892801851851855
2000,12,BB-,15.423974054054051
2000,12,BBB,2.947166666666666
2000,12,BBB+,2.0099220512820533
2000,12,BBB-,7.062412565445027
2000,12,CC,60.132866666666665
2000,12,CCC,64.07628749999999
2000,12,CCC+,53.098977272727275
2000,12,CCC-,73.67936
2000,12,D,73.09546470588235
2000,12,SD,222.2857
2001,1,A,-2.200899371069182
2001,1,A+,-1.0660495575221238
2001,1,A-,0.752931372549019
2001,1,AA,-2.6242969696969696
2001,1,AA+,-2.6123000000000003
2001,1,AA-,-3.0807623188405797
2001,1,AAA,2.5327958333333336
2001,1,B,-13.006736666666665
2001,1,B+,-6.452315028901733
2001,1,B-,-21.245311666666662
2001,1,BB,0.08491791044776169
2001,1,BB+,-3.8208119266055047
2001,1,BB-,-4.459614054054054
2001,1,BBB,0.39868173076923097
2001,1,BBB+,-2.3717005128205115
2001,1,BBB-,-0.354351052631579
2001,1,CC,6.206333333333333
2001,1,CCC,-13.8434
2001,1,CCC+,-13.113808
2001,1,CCC-,-32.20777142857143
2001,1,D,-1.9083391304347814
2001,1,SD,44.6809
2001,2,A,-2.501572784810127
2001,2,A+,-3.21199557522124
2001,2,A-,-2.555604294478529
2001,2,AA,-3.4812454545454536
2001,2,AA+,-3.4345375000000002
2001,2,AA-,-4.170573134328357
2001,2,AAA,-3.623017391304348
2001,2,B,-7.53167011494253
2001,2,B+,-9.160017045454545
2001,2,B-,-21.65122786885246
2001,2,BB,-2.5329522388059718
2001,2,BB+,-3.014777981651376
2001,2,BB-,-4.619164673913044
2001,2,BBB,-2.8205212264150954
2001,2,BBB+,-3.191391935483869
2001,2,BBB-,-1.8823320855614978
2001,2,CC,2.066099999999998
2001,2,CCC,-26.723825
2001,2,CCC+,-17.079568181818185
2001,2,CCC-,-13.156199999999998
2001,2,D,-14.022193999999999
2001,2,SD,17.6471
2001,3,A,5.020421472392638
2001,3,A+,4.034674999999998
2001,3,A-,4.712561585365852
2001,3,AA,4.138137499999999
2001,3,AA+,5.619055555555556
2001,3,AA-,3.9057605633802814
2001,3,AAA,2.6699227272727266
2001,3,B,1.7121946236559138
2001,3,B+,10.05865138121547
2001,3,B-,11.537740740740738
2001,3,BB,9.528173684210524
2001,3,BB+,7.041327272727272
2001,3,BB-,9.187777653631283
2001,3,BBB,6.021932718894012
2001,3,BBB+,6.874457923497269
2001,3,BBB-,6.24232864864865
2001,3,CC,-10.7604625
2001,3,CCC,12.850494117647058
2001,3,CCC+,-9.541811999999998
2001,3,CCC-,20.849666666666668
2001,3,D,-10.87446
2001,3,SD,0.0
2001,4,A,2.1168843750000015
2001,4,A+,2.4997491071428573
2001,4,A-,1.0718608695652179
2001,4,AA,3.8236838709677428
2001,4,AA+,2.609566666666667
2001,4,AA-,1.8603253521126766
2001,4,AAA,0.35431818181818187
2001,4,B,5.567117977528088
2001,4,B+,5.073245454545455
2001,4,B-,5.914298245614037
2001,4,BB,4.461793333333333
2001,4,BB+,4.209456880733944
2001,4,BB-,5.802862068965518
2001,4,BBB,3.6284931192660554
2001,4,BBB+,1.3660780219780215
2001,4,BBB-,3.2043936170212763
2001,4,CC,23.259
2001,4,CCC,6.309610526315791
2001,4,CCC+,18.062388000000002
2001,4,CCC-,33.1729
2001,4,D,5.99998076923077
2001,4,SD,2.0833
2001,5,A,-1.836164516129033
2001,5,A+,-1.0329590909090904
2001,5,A-,-2.172910909090908
2001,5,AA,-2.6411125
2001,5,AA+,-3.2679666666666662
2001,5,AA-,-0.7843608108108108
2001,5,AAA,-3.3377136363636364
2001,5,B,-1.8357291666666669
