splticrm,year,month,nextmonth_return
BBB+,1999,8,-3.8386502617801046
BBB+,1999,9,0.5205898936170213
BBB+,1999,10,0.08335775401069512
BBB+,1999,11,3.6268703703703724
BBB+,1999,12,-3.1897291891891895
BBB+,2000,1,-3.847458730158731
BBB+,2000,2,10.046016580310878
BBB+,2000,3,0.33470612244897946
BBB+,2000,4,1.6571160804020086
BBB+,2000,5,-1.2999525000000012
BBB+,2000,6,2.5807524752475253
BBB+,2000,7,5.029033999999999
BBB+,2000,8,-1.2960343434343435
BBB+,2000,9,-0.4684537313432842
BBB+,2000,10,0.19789015544041422
BBB+,2000,11,9.730370256410255
BBB+,2000,12,2.0099220512820533
BBB+,2001,1,-2.3717005128205115
BBB+,2001,2,-3.191391935483869
BBB+,2001,3,6.874457923497269
BBB+,2001,4,1.3660780219780215
BBB+,2001,5,-2.753899468085106
BBB+,2001,6,-1.8276102702702703
BBB+,2001,7,-2.0208708994708995
BBB+,2001,8,-9.919743684210525
BBB+,2001,9,3.3934051020408176
BBB+,2001,10,4.9378554999999995
BBB+,2001,11,3.170899999999999
BBB+,2001,12,-2.1673070707070705
BBB+,2002,1,0.42413333333333386
BBB+,2002,2,6.807088709677413
BBB+,2002,3,-2.0374956043956036
BBB+,2002,4,0.5195957446808515
BBB+,2002,5,-5.401307567567567
BBB+,2002,6,-9.808501666666665
BBB+,2002,7,1.2525050847457626
BBB+,2002,8,-9.291655307262571
BBB+,2002,9,2.9556265193370157
BBB+,2002,10,5.687351445086702
BBB+,2002,11,-2.282695321637427
BBB+,2002,12,-2.4147298245614026
BBB+,2003,1,-1.3772438596491223
BBB+,2003,2,-0.525106896551724
BBB+,2003,3,7.16045325443787
BBB+,2003,4,8.554243195266276
BBB+,2003,5,1.1948879518072286
BBB+,2003,6,1.9472846153846157
BBB+,2003,7,3.512650303030301
BBB+,2003,8,0.26058143712574844
BBB+,2003,9,5.409618452380951
BBB+,2003,10,1.982042261904763
BBB+,2003,11,4.955106547619047
BBB+,2003,12,2.0017298850574714
BBB+,2004,1,3.2097120689655174
BBB+,2004,2,0.13012840909090903
BBB+,2004,3,-3.096158192090396
BBB+,2004,4,1.375674576271186
BBB+,2004,5,3.1949198895027626
BBB+,2004,6,-0.7620860962566856
BBB+,2004,7,1.5269340425531925
BBB+,2004,8,3.455557812499999
BBB+,2004,9,2.5086507614213196
BBB+,2004,10,5.877394897959183
BBB+,2004,11,3.113291500000001
BBB+,2004,12,-1.0296631840796022
BBB+,2005,1,4.5722551724137945
BBB+,2005,2,-0.6995945812807881
BBB+,2005,3,-1.9399671794871793
BBB+,2005,4,3.6548631840796033
BBB+,2005,5,2.910159512195122
BBB+,2005,6,5.341896261682242
BBB+,2005,7,0.08646602870813394
BBB+,2005,8,1.9539009569378003
BBB+,2005,9,-3.2891633802816873
BBB+,2005,10,3.761265753424656
BBB+,2005,11,1.633503652968036
BBB+,2005,12,4.64444691943128
BBB+,2006,1,-0.5003680412371136
BBB+,2006,2,2.3131765027322406
BBB+,2006,3,2.04643206521739
BBB+,2006,4,-3.2890679558011042
BBB+,2006,5,0.44546538461538465
BBB+,2006,6,1.1988977777777778
BBB+,2006,7,1.6861125683060103
BBB+,2006,8,1.0916644808743172
BBB+,2006,9,4.255392307692309
BBB+,2006,10,3.4063604395604394
BBB+,2006,11,1.5306392045454549
BBB+,2006,12,2.063697777777777
BBB+,2007,1,-0.19287909604519776
BBB+,2007,2,1.820902298850575
BBB+,2007,3,3.7738318181818173
BBB+,2007,4,4.897643113772453
BBB+,2007,5,-1.1794802325581402
BBB+,2007,6,-4.180783720930229
BBB+,2007,7,0.8992034285714284
BBB+,2007,8,2.953314204545454
BBB+,2007,9,1.8215057142857147
BBB+,2007,10,-4.569618994413405
BBB+,2007,11,-0.8322830508474576
BBB+,2007,12,-4.647636312849161
BBB+,2008,1,-1.46042824858757
BBB+,2008,2,0.23866271186440668
BBB+,2008,3,4.5931751412429405
BBB+,2008,4,3.6477891428571425
BBB+,2008,5,-8.75075344827586
BBB+,2008,6,-0.37908011695906424
BBB+,2008,7,2.334116666666668
BBB+,2008,8,-8.061121428571425
BBB+,2008,9,-20.287815950920248
BBB+,2008,10,-6.80587682926829
BBB+,2008,11,4.889251572327046
BBB+,2008,12,-8.451861635220123
BBB+,2009,1,-10.098775155279501
BBB+,2009,2,6.874898765432096
BBB+,2009,3,13.215111320754714
BBB+,2009,4,5.5888120253164555
BBB+,2009,5,-0.3151635220125786
BBB+,2009,6,9.213163924050637
BBB+,2009,7,4.480367080745342
BBB+,2009,8,4.492789937106915
BBB+,2009,9,-2.7409592356687895
BBB+,2009,10,4.913155696202532
BBB+,2009,11,4.1544031250000035
BBB+,2009,12,-3.497426708074533
BBB+,2010,1,2.399428301886793
BBB+,2010,2,6.331945911949687
BBB+,2010,3,3.227241721854306
BBB+,2010,4,-7.261689115646258
BBB+,2010,5,-3.255259060402684
BBB+,2010,6,7.39974429530201
BBB+,2010,7,-3.477944370860926
BBB+,2010,8,8.938230263157898
BBB+,2010,9,3.1533105960264893
BBB+,2010,10,0.006112658227847987
BBB+,2010,11,6.871959999999999
BBB+,2010,12,1.347488757396449
BBB+,2011,1,3.0798482142857133
BBB+,2011,2,0.9520323170731714
BBB+,2011,3,3.305398787878788
